question,option1,option2,option3,option4,correct_option
Which element has the atomic number 1?,Helium,Hydrogen,Oxygen,Carbon,2
Which is the longest river in the world?,Nile,Amazon,Yangtze,Mississippi,1
Who painted the Mona Lisa?,Vincent van Gogh,Pablo Picasso,Leonardo da Vinci,Claude Monet,3
Which country hosted the 2016 Summer Olympics?,China,Brazil,USA,Germany,2
What is the largest ocean on Earth?,Atlantic,Indian,Pacific,Arctic,3
Which programming language is used for web development?,C++,Python,JavaScript,Java,3
Which planet is known as the Red Planet?,Earth,Mars,Jupiter,Venus,2
What is the capital of Japan?,Beijing,Seoul,Tokyo,Bangkok,3
What is the chemical symbol for Gold?,Ag,Au,Pb,Fe,2
What is the largest desert in the world?,Sahara,Gobi,Arctic,Kalahari,1
What is the chemical symbol for Water?,H2O,O2,CO2,HO,1
What is the speed of light?,"299,792,458 m/s","150,000,000 m/s","9,460,730,472,580.8 km/year","500,000,000 m/s",1
Which is the largest mammal in the world?,Elephant,Blue Whale,Giraffe,Polar Bear,2
Which planet is closest to the Sun?,Venus,Mars,Mercury,Earth,3
Which continent has the largest population?,Asia,Africa,Europe,North America,1
Who wrote 'To Kill a Mockingbird'?,Harper Lee,J.K. Rowling,Ernest Hemingway,Mark Twain,1
What is the capital of Canada?,Toronto,Vancouver,Ottawa,Montreal,3
Which country is famous for the Eiffel Tower?,Germany,Italy,France,Spain,3
Which gas is most abundant in the Earth’s atmosphere?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,2
Who was the first president of the United States?,Abraham Lincoln,George Washington,Thomas Jefferson,John Adams,2
Which language is primarily spoken in Brazil?,Spanish,Portuguese,English,French,2
What is the hardest natural substance on Earth?,Gold,Iron,Diamond,Platinum,3
What is the largest planet in our solar system?,Earth,Mars,Jupiter,Saturn,3
What is 5 + 7?,10,12,11,13,2
Which country is known as the Land of the Rising Sun?,China,Thailand,Japan,South Korea,3
What is the national currency of Japan?,Yen,Won,Dollar,Peso,1
Which organ in the human body is primarily responsible for filtering blood?,Heart,Lungs,Kidneys,Liver,3
What is the capital of France?,Berlin,Madrid,Paris,Rome,3
Who is known as the father of computers?,Bill Gates,Charles Babbage,Steve Jobs,Alan Turing,2
Which is the smallest continent by land area?,Europe,Australia,Antarctica,South America,2
What is the freezing point of water?,0°C,32°C,100°C,273°C,1
Who developed the theory of relativity?,Isaac Newton,Albert Einstein,Galileo Galilei,Nikola Tesla,2
Who wrote 'Pride and Prejudice'?,Charles Dickens,Jane Austen,Mark Twain,Emily Bronte,2
What is the capital of Italy?,Milan,Florence,Venice,Rome,4
Which city is known as the Big Apple?,Los Angeles,San Francisco,New York,Chicago,3
What is the square root of 64?,6,8,10,12,2
